starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:04:38 2023	1675105478	0	276	276	274
Tue Jan 31 01:04:34 2023	1675105474	0	276	276	275
Tue Jan 31 01:04:35 2023	1675105475	0	277	277	276
Tue Jan 31 01:04:38 2023	1675105478	0	278	278	277
Tue Jan 31 01:04:34 2023	1675105474	0	278	278	275
Tue Jan 31 01:04:38 2023	1675105478	0	279	279	217
Tue Jan 31 01:04:38 2023	1675105478	0	279	279	213
Tue Jan 31 01:04:34 2023	1675105474	0	280	280	279
Tue Jan 31 01:04:33 2023	1675105473	2	278	280	276
Tue Jan 31 01:04:35 2023	1675105475	0	280	280	245
Tue Jan 31 01:04:34 2023	1675105474	0	280	280	275
Tue Jan 31 01:04:39 2023	1675105479	0	281	281	280
Tue Jan 31 01:04:33 2023	1675105473	2	280	282	280
Tue Jan 31 01:04:34 2023	1675105474	0	282	282	241
Tue Jan 31 01:04:35 2023	1675105475	0	282	283	282
Tue Jan 31 01:04:34 2023	1675105474	0	283	283	211
Tue Jan 31 01:04:38 2023	1675105478	0	283	283	282
Tue Jan 31 01:04:39 2023	1675105479	0	283	283	276
Tue Jan 31 01:04:39 2023	1675105479	0	283	283	283
Tue Jan 31 01:04:38 2023	1675105478	2	282	284	282
Tue Jan 31 01:04:40 2023	1675105480	0	284	284	283
Tue Jan 31 01:04:34 2023	1675105474	0	284	284	240
Tue Jan 31 01:04:35 2023	1675105475	0	284	284	281
Tue Jan 31 01:04:35 2023	1675105475	0	285	285	268
Tue Jan 31 01:04:40 2023	1675105480	0	285	285	284
Tue Jan 31 01:04:35 2023	1675105475	0	285	285	279
Tue Jan 31 01:04:33 2023	1675105473	2	284	286	282
Tue Jan 31 01:04:40 2023	1675105480	0	286	286	285
Tue Jan 31 01:04:38 2023	1675105478	0	286	286	224
Tue Jan 31 01:04:38 2023	1675105478	0	286	286	222
Tue Jan 31 01:04:38 2023	1675105478	0	286	286	286
